"YR","JUNE_TEMP","FEB_TEMP","TEMP","THW","WHW","SHW"
1982,7.42793408230672,4.22900642268629,-1.14789578400651,0,0,0
1983,9.06092809009181,4.36142134864353,0.48509822377858,31.877,15.1993,4.73
1984,9.76093557928609,4.15036884959973,1.18510571297286,88.2076,43.1034,0
1985,7.28845243640146,4.62588844410492,-1.28737742991177,24.612,24.612,19.68
1986,7.54810786446187,4.49775441377835,-1.02772200185136,16.3489,16.3489,0
1987,7.90665992650423,4.86620947065857,-0.669169939808998,5.577,0,0
1988,8.87727715616578,4.96701356072408,0.301447289852554,0,0,0
1989,7.61820074859086,3.43158106215023,-0.957629117722373,0,0,0
1990,9.20400599433925,3.4930971133883,0.628176128026023,8.7174,0,0
1991,7.70941573230627,3.33453451471663,-0.866414134006964,0,0,0
1992,8.77442247119624,4.30065711175764,0.198592604883009,0,0,0
1993,9.19799026357547,3.72938683957122,0.622160397262242,19.104,0,0
1994,8.79214606656564,4.4888362764777,0.216316200252407,0,0,0
1995,7.86649962718986,3.8157600347156,-0.709330239123374,0,0,0
1996,8.79047340788826,3.91536458899151,0.214643541575034,0,0,0
1997,9.87681198461449,4.18602407910916,1.30098211830126,142.05,23.2392,0
1998,8.62252509562403,5.60991894273195,0.0466952293108012,150.8487,87.0522,80.8089
1999,7.67196254679996,3.88722793125319,-0.903867319513271,0,0,0
2000,8.94763595536407,3.79991243637778,0.371806089050841,0,0,0
2001,9.62796854109312,4.97386998413235,1.05213867477989,46.9135,23.3488,11.3256
2002,8.57508239607239,4.18614767492729,-0.000747470240835213,51.2736,51.2736,0
2003,9.11303071233845,5.65086918258785,0.537200846025222,207.8493,151.4816,108.1194
2004,8.94020000077812,4.22694614848605,0.364370134464892,117.6447,0,0
2005,10.4353962496425,4.21797592714519,1.8595663833293,284.6038,3.7846,0
2006,9.46710561809468,4.3238274508863,0.891275751781453,35.1361,5.8065,0
2007,7.81081872665034,3.57010433679749,-0.765011139662892,0,0,0
2008,7.79563895479124,3.34015730583708,-0.780190911521992,0,0,0
2009,8.26647265962894,3.21028972913483,-0.309357206684293,0,0,0
2010,8.40540899162435,4.77077929474351,-0.170420874688878,6.522,0,0
2011,8.25762621750992,4.33521509159425,-0.318203648803305,0,0,0
2012,8.21359175821369,2.85454630036151,-0.362238108099543,0,0,0
2013,8.70957452952639,4.22703772254279,0.133744663213156,0,0,0
2014,9.37029662982355,4.23862439844665,0.79446676351032,283.015,105.442,0
2015,10.2471827734186,5.79544622968033,1.67135290710541,402.3217,202.3818,133.281
2016,10.9107812764671,5.71839906964689,2.33495141015391,630.866,314.5688,155.556
2017,9.15984793588017,4.62976163961681,0.584018069566939,53.0334,38.7756,0
2018,8.99128988666035,4.56801123748045,0.415460020347115,128.4953,99.8856,0
2019,10.1815655476502,5.42481701480849,1.605735681337,496.7389,199.4842,100.448
2020,9.69723970288194,4.13209918917051,1.12140983656871,157.3959,34.0736,0
2021,8.63237528172325,5.06227287260567,0.0565454154100209,29.1765,29.1765,12.6256
2022,10.3634764088763,3.95059470593986,1.78764654256306,77.9558,4.7544,0
2023,7.34584269646083,4.5387474008844,-1.2299871698524,0,0,0
